Category,Description,RAM,File Size,CPU_Intel,CPU_AMD,GPU_NVIDIA,GPU_AMD,GPU_Intel,CPU_Intel_score,CPU_AMD_score,GPU_NVIDIA_score,GPU_AMD_score,GPU_Intel_score,App
"['Action', 'FPS', 'MOBA']","Fight alone or with friends in For Honor, a third-person hero-based melee fighting game. Enter the chaos of war as a Knight, a Viking, a Samurai, a Wu Lin, or an Outlander. Fight in brutal PvP and team-oriented modes, or play the thrilling story campaign.",4,40,Intel Core i3-550,Intel Core i3-550,NVIDIA GeForce GTX 750 Ti,NVIDIA GeForce GTX 750 Ti,NVIDIA GeForce GTX 750 Ti,1625,1625,3898,3898,3898,FOR HONOR
"['Action', 'Strategy', 'RPG']","Embark on a journey to a realm overrun by demons in a new epic RPG from the creators of the critically acclaimed Pathfinder: Kingmaker. Explore the nature of good and evil, learn the true cost of power, and rise as a Mythic Hero capable of deeds beyond mortal expectations.",6,50,Intel Core i3-2310M,Intel Core i3-2310M,NVIDIA GeForce 940M,NVIDIA GeForce 940M,NVIDIA GeForce 940M,1216,1216,1128,1128,1128,Pathfinder: Wrath of the Righteous
['Unknown'],"From the creators of the award-winning Age of Empires franchise, Age of Mythology: Retold goes beyond history to a mythical age where gods, monsters, and humans collide.",8,25,Intel Core i3-4130,FX-4350,NVIDIA GeForce GTX 645,Radeon Vega 8,NVIDIA GeForce GTX 645,14365,3176,1881,1577,1881,Age of Mythology: Retold
"['Strategy', 'Casual', 'Indie']","Foundation is a grid-less, laidback medieval city-building game with a focus on organic development, monument construction and resource management.",8,0,Intel Core i5-4460,Intel Core i5-4460,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,NVIDIA GeForce GTX 960,25352,25352,6115,6115,6115,Foundation
"['Adventure', 'FPS']","The Walking Dead: The Telltale Definitive Series contains all 4 Seasons, 400 Days, and The Walking Dead: Michonne, which includes over 50 hours of gameplay across 23 unique episodes.",3,45,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,NVIDIA GeForce GTS 450,NVIDIA GeForce GTS 450,NVIDIA GeForce GTS 450,594,594,1318,1318,1318,The Walking Dead: The Telltale Definitive Series
"['Action', 'Simulation', 'Free to Play']","Gear up for tactical mech action in War Robots: Frontiers, a free-to-play multiplayer mech shooter. Construct and customize, squad up with Pilots online, and fire up your engines in massive intergalactic battles.",8,10,Intel Core i5-3470,Intel Core i5-3470,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,23679,23679,4023,4023,4023,War Robots: Frontiers
"['Racing', 'Indie', 'Simulation']","My Summer Car is the ultimate car owning, building, fixing, tuning, maintenance AND permadeath life survival simulator. You start the game with hundreds of loose parts and assemble both car and engine.",6,1,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,,,,594,594,0,0,0,My Summer Car
['Unknown'],Compete in over 500 cars on 30 world-famous tracks now featuring the legendary Fujimi Kaido! Play the new 20th Anniversary Tour and obtain special rewards.,16,110,Intel Core i5-8400,Intel Core i5-8400,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,NVIDIA GeForce GTX 1070,19102,19102,13498,13498,13498,Forza Motorsport
['Unknown'],The Rails are Yours in Train Sim World 5! Take on new challenges and new roles as you master the tracks and trains of iconic cities across 3 new routes. Immerse yourself in the ultimate rail hobby and embark on your next journey.,8,35,Intel Core i5-4690,Intel Core i5-4690,,,,33203,33203,0,0,0,Train Sim World® 5
"['Casual', 'Indie', 'Simulation']","Tiny Glade is a small diorama builder where you doodle whimsical castles, cozy cottages & romantic ruins. Explore gridless building chemistry as the game adorns your glades with procedural detail. No management, combat or goals: just kick back and turn forgotten meadows into lovable dioramas.",4,3,Intel Core i5-760,Intel Core i5-760,AMD Radeon R9 270,AMD Radeon R9 270,AMD Radeon R9 270,2654,2654,4306,4306,4306,Tiny Glade
"['Action', 'FPS']","Wolfenstein : The New Order reignites the series that created the first-person shooter genre. Wolfenstein offers a deep game narrative packed with action, adventure and first-person combat.",4,50,Intel Core i7-610,Intel Core i7-610,AMD Radeon HD 6850,AMD Radeon HD 6850,AMD Radeon HD 6850,2071,2071,1947,1947,1947,Wolfenstein: The New Order
"['Action', 'Adventure', 'FPS']","Experience a gripping psychological thriller filled with innumerable twists and turns. The hunt is on for a murderer known only as the Origami Killer. Four characters, each following their own leads, must take part in a desperate attempt to prevent the killer from claiming a new victim.",4,35,Intel Core i5-4430,Intel Core i5-4430,AMD Radeon HD 7870,AMD Radeon HD 7870,AMD Radeon HD 7870,25352,25352,4602,4602,4602,Heavy Rain
['Unknown'],"Experience the critically acclaimed and award-winning Portal reimagined with full ray tracing and DLSS 4 in this free DLC for Portal owners. Start thinking with portals, with RTX on.",16,25,Intel Core i7-6700,Ryzen 5 3600,NVIDIA GeForce RTX 3060,NVIDIA GeForce RTX 3060,NVIDIA GeForce RTX 3060,30444,17708,126,126,126,Portal with RTX
"['Sports', 'Simulation', 'Early Access']","Cricket 22 delivers the Ashes, the Big Bash, The Hundred, and a multitude of other fan-favourite competitions! All-new mechanics, commentary, and a captivating, narrative driven career mode, will immediately immerse you in the ultimate cricket experience to date.",8,45,Intel Core i3-2340UE,Intel Core i3-2340UE,,,,976,976,0,0,0,Cricket 22
"['Adventure', 'Early Access']","A visually stunning story about a nymphomaniac who loves her body, sex and adrenaline. All this presented in a photorealistic audiovisual setting.",8,17,Intel Core i5-6500,Intel Core i5-6500,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,NVIDIA GeForce GTX 1050,19760,19760,5030,5030,5030,Nymphomaniac - Sex Addict
"['Action', 'RPG']","Diablo III is a genre-defining action-RPG set in Sanctuary, a world ravaged by the eternal conflict between angels and demons.",1,12,AMD Athlon 64 X2 5600+,AMD Athlon 64 X2 5600+,AMD Radeon X1950 Pro,AMD Radeon X1950 Pro,AMD Radeon X1950 Pro,909,909,112,112,112,Diablo 3
['Unknown'],"Rule the streets as the most notorious street racer in various distinct regions that include edgy and upscale industrial and urban environments. In the game, the environment can be a friend for a foe. New and exciting gameplay that incorporate strategic cop pursuit and skill-based evasion techniques with illicit street racing.",1,3,AMD Athlon XP 1700+,AMD Athlon XP 1700+,ATI Radeon 7500,ATI Radeon 7500,ATI Radeon 7500,176,176,3,3,3,Need for Speed: Most Wanted (2005)
"['Action', 'RPG', 'FPS']",The Ultimate Vault Hunter s Upgrade lets you get the most out of the Borderlands 2 experience.,2,13,Intel Core 2 Duo T7700,Intel Core 2 Duo T7700,ATI Radeon HD 2600 PRO,ATI Radeon HD 2600 PRO,ATI Radeon HD 2600 PRO,594,594,211,211,211,Borderlands 2
"['Sports', 'Adventure', 'Simulation']","Discover an atmospheric hunting game like no other in this realistic, stunning open world regularly updated in collaboration with the community. Immerse yourself in the single player campaign, or share the ultimate hunting experience with friends.",4,60,Intel Core i3-4170,Intel Core i3-4170,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,15300,15300,4023,4023,4023,theHunter: Call of the Wild
"['Action', 'Fighting']",The cutting-edge 2D/3D hybrid graphics pioneered in the Guilty Gear series have been raised to the next level in GUILTY GEAR -STRIVE- . The new artistic direction and improved character animations will go beyond anything you ve seen before in a fighting game!,4,26,Intel Core i5-3450,Intel Core i5-3450,AMD Radeon HD 6870,AMD Radeon HD 6870,AMD Radeon HD 6870,23679,23679,2208,2208,2208,GUILTY GEAR -STRIVE-
"['Action', 'Free to Play']",Join fast-paced action-packed combat. Play Combat Master -- AAA experience on any hardware. Best-in-class multiplayer gunfight. Next-level extreme performance. Lightning-speed loading time and a whole lot more.,4,1,Intel Core 2 Duo E6600,Intel Core 2 Duo E6600,,,,594,594,0,0,0,Combat Master
"['Action', 'Adventure', 'MMO']",1st Pet Capture Battle Royale!,6,10,Intel Core i3-6300,Intel Core i3-6300,AMD Radeon HD 7730,AMD Radeon HD 7730,AMD Radeon HD 7730,8553,8553,1188,1188,1188,Farlight 84
"['Simulation', 'Free to Play', 'FPS']",Feel the excitement of flying the Su-25T Frogfoot attack jet and the TF-51D Mustang in the free-to-play Digital Combat Simulator World!,16,200,Intel Core i5-1300F,Intel Core i5-1300F,,,,25081,25081,0,0,0,DCS World Steam Edition
"['Racing', 'Early Access']","Le Mans is a continually evolving story... powered by emotion, speed and glory. Le Mans Ultimate - the official game of the FIA World Endurance Championship and 24 Hours of Le Mans.",8,30,Intel Core i5-4460,Intel Core i5-4460,,,,25352,25352,0,0,0,Le Mans Ultimate
"['Action', 'Casual', 'Adventure']",DRAGON BALL XENOVERSE 2 builds upon the highly popular DRAGON BALL XENOVERSE with enhanced graphics that will further immerse players into the largest and most detailed Dragon Ball world ever developed.,4,0,Intel Core i5-3570,Intel Core i5-3570,,,,31430,31430,0,0,0,DRAGON BALL XENOVERSE 2
"['Action', 'FPS']","Call of Duty is back, redefining war like youve never experienced before. Building on the Call of Duty 4 : Modern Warfare engine, Call of Duty: World at War immerses players into the most gritty and chaotic WWII combat ever experienced.",1,8,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,AMD Radeon X1600,AMD Radeon X1600,AMD Radeon X1600,594,594,49,49,49,Call of Duty: World at War
"['Action', 'Adventure', 'FPS']","An epic story of family, vengeance and conspiracy set in the pristine, yet brutal, backdrop of a Renaissance Italy. New low price!",4,8,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,,,,594,594,0,0,0,Assassin's Creed 2
"['Indie', 'Simulation', 'Early Access']","Build and grow your very own computer repair enterprise as you learn to diagnose, fix and build PCs. With real-world licensed components and comprehensive hardware and software simulation, you can plan and bring your ultimate PC to life.",4,30,Intel Core i5-2500K,Intel Core i5-2500K,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,19760,19760,4023,4023,4023,PC Building Simulator
"['RPG', 'FPS']","Vault-Tec engineers have worked around the clock on an interactive reproduction of Wasteland life for you to enjoy from the comfort of your own vault. Included is an expansive world, unique combat, shockingly realistic visuals, tons of player choice, and an incredible cast of dynamic characters.",1,7,Intel Pentium 4 2.40GHz,Intel Pentium 4 2.40GHz,NVIDIA GeForce 6800,NVIDIA GeForce 6800,NVIDIA GeForce 6800,131,131,112,112,112,Fallout 3
"['Racing', 'Sports', 'Simulation']","RENNSPORT is the future of racing simulation, competition, and digital car culture. Live the thrill of driving high-performance race cars on laser-scanned circuits from around the world and breathtaking roads imagined by the community.",16,100,Intel Core i7-6700K,Intel Core i7-6700K,NVIDIA GeForce RTX 2070,NVIDIA GeForce RTX 2070,NVIDIA GeForce RTX 2070,34465,34465,16101,16101,16101,RENNSPORT
"['Action', 'Adventure', 'FPS']","It s 1980, the Cold War balances precariously on the brink of full-scale conflict. Infiltrate a volatile and manipulative world of high-stakes espionage your way. Plan and execute your missions against an enemy plotting all-out nuclear war in this tense and tactical first-person shooter.",4,0,Intel Core i5-12400T,Intel Core i5-12400T,,,,15854,15854,0,0,0,IGI : Origins
"['Action', 'Early Access']","Dont just survive a zombie apocalypse, thrive in it! Blast hordes of Zeds as you gain experience and cash to buy better gear and see how long you can survive.",8,18,Intel Core i5-3470,Intel Core i5-3470,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,NVIDIA GeForce GTX 970,23679,23679,9642,9642,9642,Born in Blood
"['RPG', 'Early Access']","Adult open world survival with sex defeat system, pregnancy, player building and much more. Combat horny monsters, build your home, craft your gear, customize your character and ride dragons! Fight your way trough dungeons, caves, and ruins across the map.",8,15,Intel Core i5-12400T,Intel Core i5-12400T,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050,NVIDIA GeForce RTX 3050,15854,15854,126,126,126,Wicked Island
"['Action', 'Adventure']","Hinakos hometown is engulfed in fog, driving her to fight grotesque monsters and solve eerie puzzles. Uncover the disturbing beauty hidden in terror.",16,50,Intel Core i5-8400,Ryzen 5 2600,NVIDIA GeForce GTX 1070 Ti,Radeon RX 5700,NVIDIA GeForce GTX 1070 Ti,19102,13167,14680,14336,14680,SILENT HILL f
"['Strategy', 'Casual', 'Indie']","The poker roguelike. Balatro is a hypnotically satisfying deckbuilder where you play illegal poker hands, discover game-changing jokers, and trigger adrenaline-pumping, outrageous combos.",1,1,Intel Core i3-2340UE,Intel Core i3-2340UE,,,,976,976,0,0,0,Balatro
"['Strategy', 'Casual', 'Indie']",Garrys Mod is a physics sandbox. There arent any predefined aims or goals. We give you the tools and leave you to play.,4,5,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,,,Intel HD 3000,594,594,260,260,260,Garry's Mod
"['Action', 'Indie', 'Early Access']",ULTRAKILL is a fast-paced ultraviolent retro FPS combining the skill-based style scoring from character action games with unadulterated carnage inspired by the best shooters of the 90s. Rip apart your foes with varied destructive weapons and shower in their blood to regain your health.,4,3,Intel Core 2 Duo Q6867,Intel Core 2 Duo Q6867,NVIDIA GeForce GTX 560,NVIDIA GeForce GTX 560,NVIDIA GeForce GTX 560,594,594,2770,2770,2770,ULTRAKILL
"['Strategy', 'RPG', 'Casual']","Coral Island is a vibrant and laid-back reimagining of farm sim games. Be who you want and experience enchanting island living at your own pace live off the land, nurture animals, build relationships with a diverse cast of townsfolk, and make the world around you a more vital and harmonious place.",6,8,Intel Core i3-2340UE,Intel Core i3-2340UE,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,976,976,4023,4023,4023,Coral Island
"['Action', 'RPG', 'Indie']","Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings.",3,4,Intel Core 2 Duo E8400,Intel Core 2 Duo E8400,,,,594,594,0,0,0,Cuphead
"['Action', 'Adventure', 'FPS']",Experience what it s like to be Batman and face off against Gothams greatest villians. Explore every inch of Arkham Asylum and roam freely on the infamous island.,1,8,Intel Core 2 Duo E6850,Intel Core 2 Duo E6850,NVIDIA GeForce 6600,NVIDIA GeForce 6600,NVIDIA GeForce 6600,594,594,86,86,86,Batman: Arkham Asylum
"['Action', 'Racing', 'MMO']","Take on the American motorsports scene as you explore and dominate the land, air, and sea across the entire USA. With a wide variety of cars, bikes, boats, and planes, compete in a wide range of driving disciplines.",8,57,Intel Core i5-2400S / Core i5-2400,Intel Core i5-2400S / Core i5-2400,GeForce GTX 660,AMD Radeon HD 7870,GeForce GTX 660,19102,19102,4023,4602,4023,The Crew 2
"['Action', 'Adventure', 'Violent']","Discover unrivalled sniping freedom in the largest and most advanced World War 2 shooter ever built. Experience tactical third-person combat, gameplay choice and epic longshots across gigantic levels as you liberate wartime Italy from the grip of Fascism.",4,40,Intel Core i3-2100,Intel Core i3-2100,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,NVIDIA GeForce GTX 660,12419,12419,4023,4023,4023,Sniper Elite 4
